"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1552705_3p_at","DUSP19","142679","dual specificity phosphatase 19",-0.0318583570628945,5.60114400056445,-0.102082903961731,0.919330590041537,0.998031274026824,-6.04100120767982
"2","1553703_3p_at","ZNF791","163049","zinc finger protein 791",-0.119146013435537,7.07157930265027,-0.396417478540395,0.694439479710186,0.99149228507169,-5.9696889418417
"3","1554053_3p_at","SPTLC1","10558","serine palmitoyltransferase long chain base subunit 1",0.109532723308488,4.67558280483267,0.344457282775583,0.732765555074483,0.99149228507169,-5.98836549697299
"4","1555851_3p_s_at","SELENOW","6415","selenoprotein W",0.202950059656331,11.7217960641018,0.774200706825643,0.444518956030676,0.986065998861608,-5.75681788676573
"5","1556316_3p_s_at","MIF-AS1","284889","MIF antisense RNA 1",-0.200742575718139,6.3278470450472,-0.760126603053501,0.452766876425917,0.989554377029959,-5.76714096317532
"6","1556558_3p_s_at","ENTPD3-AS1","285266","ENTPD3 antisense RNA 1",0.438266310572835,4.73485769860523,1.32355949794391,0.195067751912672,0.958358032561048,-5.21618207955228
"7","1556950_3p_s_at","SERPINB6","5269","serpin family B member 6",-0.389481724753364,6.86410420802422,-1.43603153418897,0.160738996349927,0.933511771394148,-5.07392184157844
"8","1557137_3p_at","TMEM17","200728","transmembrane protein 17",0.615395869260991,6.69413705885242,1.97939957114283,0.0564657593378885,0.759514184973691,-4.25106867419866
"9","1557891_3p_s_at","STXBP5-AS1","729178","STXBP5 antisense RNA 1",-0.0578006886847531,5.52812808935642,-0.158996834688252,0.874674875636523,0.99264751970151,-6.0337636009666
"10","1557915_3p_s_at","GSTO1","9446","glutathione S-transferase omega 1",-0.00861668506814617,6.6904710884787,-0.0271915903465302,0.978476514170183,0.998445092134237,-6.04571883776625
"11","1566480_3p_x_at","MEIOC","284071","meiosis specific with coiled-coil domain",-0.459279349522696,6.69330904267894,-1.81607315010245,0.0787788697148227,0.833551980659915,-4.52078986420772
"12","1569008_3p_at","LOC100132249","100132249","uncharacterized LOC100132249",-0.0413776142724167,5.41565800897735,-0.160161179298715,0.873765143183689,0.99264751970151,-6.03358264159124
"13","1569030_3p_s_at","NUB1","51667","negative regulator of ubiquitin like proteins 1",0.228798569545207,8.57080414359045,0.729203841066981,0.471203433032255,0.99149228507169,-5.78918128669761
"14","1569040_3p_s_at","ANKRD36BP2","645784","ankyrin repeat domain 36B pseudogene 2",0.810170806824475,5.36203260275617,2.32696178459386,0.0264842461162401,0.58291701650228,-3.6197705821118
"15","200004_at","EIF4G2","1982","eukaryotic translation initiation factor 4 gamma 2",0.381764552116694,10.9762838685413,1.17667518066297,0.248040919261896,0.976074176455818,-5.38631322159079
"16","200005_at","EIF3D","8664","eukaryotic translation initiation factor 3 subunit D",0.149458391963186,8.51601234647118,0.520945106744176,0.606006755073221,0.99149228507169,-5.91440537078261
"17","200009_at","GDI2","2665","GDP dissociation inhibitor 2",0.109421438717368,10.0069979231072,0.409412239520342,0.684976386399768,0.99149228507169,-5.96461270056862
"18","200010_at","RPL11","6135","ribosomal protein L11",-0.0698663082470476,7.37511999870408,-0.205698055304406,0.8383353499926,0.99149228507169,-6.02547212105751
"19","200011_s_at","ARF3","377","ADP ribosylation factor 3",0.112000077732205,8.51493553197388,0.383965801833806,0.703554165720507,0.99149228507169,-5.97440100315217
"20","200014_s_at","HNRNPC","3183","heterogeneous nuclear ribonucleoprotein C",0.223078378184315,10.6368741885943,0.842602258557155,0.405731428113149,0.976074176455818,-5.70406322463916
"21","200024_at","RPS5","6193","ribosomal protein S5",-0.157139790220708,7.67159166870485,-0.520984833299712,0.605979396893687,0.99149228507169,-5.91438537710703
"22","200030_s_at","SLC25A3","5250","solute carrier family 25 member 3",0.287593512426996,10.9517118159367,0.917219731602486,0.365918126848865,0.976074176455818,-5.64166898966109
"23","200036_s_at","RPL10A","4736","ribosomal protein L10a",0.101863447961771,9.91963250256143,0.377999725939792,0.707937328584791,0.99149228507169,-5.97660596622433
"24","200048_s_at","JTB","10899","jumping translocation breakpoint",0.0797380791839082,11.6737372064296,0.27758994988037,0.783120308848806,0.99149228507169,-6.00857205444866
"25","200055_at","TAF10","6881","TATA-box binding protein associated factor 10",-0.131449603188011,8.46771993014941,-0.392185103160756,0.69753249167091,0.99149228507169,-5.97130728962881
"26","200059_s_at","RHOA","387","ras homolog family member A",0.234890358571053,7.85138214173493,0.864904876589716,0.393556082372537,0.976074176455818,-5.68594112376311
"27","200061_s_at","RPS24","6229","ribosomal protein S24",0.106520295812571,10.280946754715,0.389959089834,0.699161377479814,0.99149228507169,-5.97215155779415
"28","200063_s_at","NPM1","4869","nucleophosmin 1",0.24596006389527,11.8171862988348,0.919989573339804,0.364491007486408,0.976074176455818,-5.63925636003884
"29","200074_s_at","RPL14","9045","ribosomal protein L14",0.148003937426843,8.02700025620396,0.391113860217508,0.698316192274455,0.99149228507169,-5.97171417764532
"30","200082_s_at","RPS7","6201","ribosomal protein S7",0.230474010104422,6.50627471948273,0.836059648168671,0.409347415328198,0.976074176455818,-5.70929380367758
"31","200084_at","C11orf58","10944","chromosome 11 open reading frame 58",0.506099722026706,8.74797142226743,1.79349961910093,0.0823894416174471,0.833551980659915,-4.55661702833515
"32","200096_s_at","ATP6V0E1","8992","ATPase H+ transporting V0 subunit e1",0.273503918682731,8.58239318979452,0.801716984766443,0.42865533686802,0.976074176455818,-5.73611004052508
"33","201327_3p_s_at","CCT6A","908","chaperonin containing TCP1 subunit 6A",0.214585976059955,6.86834630825236,0.71949301769352,0.477081532053246,0.99149228507169,-5.79592047363347
"34","201436_3p_at","EIF4E","1977","eukaryotic translation initiation factor 4E",0.601354792514877,6.76931624606604,1.84306677385723,0.0746391738703652,0.830443374765634,-4.47747695949675
"35","201462_3p_at","SCRN1","9805","secernin 1",0.261148041196712,7.77498945431796,0.880930648674927,0.384952011178272,0.976074176455818,-5.67264124003046
"36","201596_3p_x_at","KRT18","3875","keratin 18",0.00258944791252702,7.64152580605439,0.00830133787138264,0.993428324045806,0.998990410243223,-6.04604560130698
"37","201655_3p_s_at","HSPG2","3339","heparan sulfate proteoglycan 2",-0.0272098802256524,6.4527321133713,-0.101517969914982,0.919775436689432,0.998031274026824,-6.04105724640067
"38","201862_3p_s_at","LRRFIP1","9208","LRR binding FLII interacting protein 1",0.303030567240578,4.06999988656961,0.771671716694186,0.4459943819996,0.986065998861608,-5.75868627109878
"39","202131_3p_s_at","RIOK3","8780","RIO kinase 3",-0.125203613783483,5.23852784651542,-0.396728958561685,0.694212060347253,0.99149228507169,-5.96956916098741
"40","202210_3p_x_at","GSK3A","2931","glycogen synthase kinase 3 alpha",-0.13937026652478,6.84857348595195,-0.529460442739551,0.600155855274844,0.99149228507169,-5.91008552221143
"41","202384_3p_s_at","TCOF1","6949","treacle ribosome biogenesis factor 1",-0.300733567723092,6.40438054142457,-1.04365270003675,0.304499770986554,0.976074176455818,-5.52458729110835
"42","202386_3p_s_at","MARF1","9665","meiosis regulator and mRNA stability factor 1",0.31929671632775,7.32134933866057,1.00364886911291,0.323109201341017,0.976074176455818,-5.5631619436134
"43","202692_3p_s_at","UBTF","7343","upstream binding transcription factor",0.030193887458049,6.18817781407142,0.112374671315447,0.911231307504879,0.996843421673896,-6.0399259179699
